-0037-07-08	-0037-06-01
-0037-08-07	-0037-07-01
-0037-09-05	-0037-08-01
-0037-10-05	-0037-09-01
-0037-11-04	-0037-10-01
-0037-12-03	-0037-11-01
-0038-01-23	-0039-12'-01
-0038-02-21	-0038-01-01
-0038-03-23	-0038-02-01
-0038-04-21	-0038-03-01
-0038-05-21	-0038-04-01
-0038-06-20	-0038-05-01
-0038-07-19	-0038-06-01
-0038-08-18	-0038-07-01
-0038-09-16	-0038-08-01
-0038-10-16	-0038-09-01
-0038-11-14	-0038-10-01
-0038-12-14	-0038-11-01
-0039-01-04	-0040-12-01
-0039-02-02	-0039-01-01
-0039-03-04	-0039-02-01
-0039-04-03	-0039-03-01
-0039-05-02	-0039-04-01
-0039-06-01	-0039-05-01
-0039-06-30	-0039-06-01
-0039-07-30	-0039-07-01
-0039-08-28	-0039-08-01
-0039-09-27	-0039-09-01
-0039-10-26	-0039-10-01
-0039-11-25	-0039-11-01
-0039-12-24	-0039-12-01
-0040-01-16	-0041-12-01
-0040-02-14	-0040-01-01
-0040-03-15	-0040-02-01
-0040-04-13	-0040-03-01
-0040-05-13	-0040-04-01
-0040-06-11	-0040-05-01
-0040-07-11	-0040-06-01
-0040-08-09	-0040-07-01
-0040-09-08	-0040-08-01
-0040-10-07	-0040-09-01
-0040-11-06	-0040-10-01
-0040-12-05	-0040-11-01
-0041-01-26	-0041-01-01
-0041-02-25	-0041-02-01
-0041-03-26	-0041-03-01
-0041-04-25	-0041-03'-01
-0041-05-24	-0041-04-01
-0041-06-23	-0041-05-01
-0041-07-22	-0041-06-01
-0041-08-21	-0041-07-01
-0041-09-19	-0041-08-01
-0041-10-19	-0041-09-01
-0041-11-18	-0041-10-01
-0041-12-17	-0041-11-01
-0042-01-07	-0043-12-01
-0042-02-06	-0042-01-01
-0042-03-07	-0042-02-01
-0042-04-06	-0042-03-01
-0042-05-05	-0042-04-01
-0042-06-04	-0042-05-01
-0042-07-03	-0042-06-01
-0042-08-02	-0042-07-01
-0042-09-01	-0042-08-01
-0042-09-30	-0042-09-01
-0042-10-30	-0042-10-01
-0042-11-28	-0042-11-01
-0042-12-28	-0042-12-01
-0043-01-18	-0044-12-01
-0043-02-16	-0043-01-01
-0043-03-18	-0043-02-01
-0043-04-17	-0043-03-01
-0043-05-16	-0043-04-01
-0043-06-15	-0043-05-01
-0043-07-14	-0043-06-01
-0043-08-13	-0043-07-01
-0043-09-11	-0043-08-01
-0043-10-11	-0043-09-01
-0043-11-09	-0043-10-01
-0043-12-09	-0043-11-01
-0044-01-30	-0044-01-01
-0044-02-28	-0044-02-01
-0044-03-29	-0044-03-01
-0044-04-27	-0044-04-01
-0044-05-27	-0044-05-01
-0044-06-25	-0044-06-01
-0044-07-25	-0044-06'-01
-0044-08-23	-0044-07-01
-0044-09-22	-0044-08-01
-0044-10-21	-0044-09-01
-0044-11-20	-0044-10-01
-0044-12-19	-0044-11-01
-0045-01-11	-0046-12-01
-0045-02-09	-0045-01-01
-0045-03-11	-0045-02-01
-0045-04-09	-0045-03-01
-0045-05-09	-0045-04-01
-0045-06-07	-0045-05-01
-0045-07-07	-0045-06-01
-0045-08-05	-0045-07-01
-0045-09-04	-0045-08-01
-0045-10-03	-0045-09-01
-0045-11-02	-0045-10-01
-0045-12-02	-0045-11-01
-0045-12-31	-0045-12-01
-0046-01-21	-0047-12-01
-0046-02-20	-0046-01-01
-0046-03-21	-0046-02-01
-0046-04-20	-0046-03-01
-0046-05-19	-0046-04-01
-0046-06-18	-0046-05-01
-0046-07-17	-0046-06-01
-0046-08-16	-0046-07-01
-0046-09-15	-0046-08-01
-0046-10-14	-0046-09-01
-0046-11-13	-0046-10-01
-0046-12-12	-0046-11-01
-0047-01-02	-0048-12-01
-0047-02-01	-0047-01-01
-0047-03-02	-0047-02-01
-0047-04-01	-0047-03-01
-0047-05-01	-0047-04-01
-0047-05-30	-0047-05-01
-0047-06-29	-0047-06-01
-0047-07-28	-0047-07-01
-0047-08-27	-0047-08-01
-0047-09-25	-0047-09-01
-0047-10-25	-0047-10-01
-0047-11-23	-0047-10'-01
-0047-12-23	-0047-11-01
-0048-01-14	-0049-12-01
-0048-02-13	-0048-01-01
-0048-03-13	-0048-02-01
-0048-04-12	-0048-03-01
-0048-05-11	-0048-04-01
-0048-06-10	-0048-05-01
-0048-07-09	-0048-06-01
-0048-08-08	-0048-07-01
-0048-09-06	-0048-08-01
-0048-10-06	-0048-09-01
-0048-11-04	-0048-10-01
-0048-12-04	-0048-11-01
-0049-01-25	-0049-01-01
-0049-02-23	-0049-02-01
-0049-03-25	-0049-02'-01
-0049-04-23	-0049-03-01
-0049-05-23	-0049-04-01
-0049-06-21	-0049-05-01
-0049-07-21	-0049-06-01
-0049-08-19	-0049-07-01
-0049-09-18	-0049-08-01
-0049-10-17	-0049-09-01
-0049-11-16	-0049-10-01
-0049-12-15	-0049-11-01
-0050-01-06	-0051-12-01
-0050-02-04	-0050-01-01
-0050-03-06	-0050-02-01
-0050-04-04	-0050-03-01
-0050-05-04	-0050-04-01
-0050-06-02	-0050-05-01
-0050-07-02	-0050-06-01
-0050-07-31	-0050-07-01
-0050-08-30	-0050-08-01
-0050-09-29	-0050-09-01
-0050-10-28	-0050-10-01
-0050-11-27	-0050-11-01
-0050-12-26	-0050-12-01
-0051-01-16	-0052-12-01
-0051-02-15	-0051-01-01
-0051-03-16	-0051-02-01
-0051-04-15	-0051-03-01
-0051-05-15	-0051-04-01
-0051-06-13	-0051-05-01
-0051-07-13	-0051-06-01
-0051-08-11	-0051-07-01
-0051-09-10	-0051-08-01
-0051-10-09	-0051-09-01
-0051-11-08	-0051-10-01
-0051-12-07	-0051-11-01
-0052-01-28	-0052-01-01
-0052-02-27	-0052-02-01
-0052-03-27	-0052-03-01
-0052-04-26	-0052-04-01
-0052-05-25	-0052-05-01
-0052-06-24	-0052-05'-01
-0052-07-23	-0052-06-01
-0052-08-22	-0052-07-01
-0052-09-20	-0052-08-01
-0052-10-20	-0052-09-01
-0052-11-18	-0052-10-01
-0052-12-18	-0052-11-01
-0053-01-09	-0054-12-01
-0053-02-08	-0053-01-01
-0053-03-09	-0053-02-01
-0053-04-08	-0053-03-01
-0053-05-07	-0053-04-01
-0053-06-06	-0053-05-01
-0053-07-05	-0053-06-01
-0053-08-04	-0053-07-01
-0053-09-02	-0053-08-01
-0053-10-02	-0053-09-01
-0053-10-31	-0053-10-01
-0053-11-30	-0053-11-01
-0053-12-29	-0053-12-01
-0054-01-20	-0055-12-01
-0054-02-18	-0054-01-01
-0054-03-20	-0054-02-01
-0054-04-18	-0054-03-01
-0054-05-18	-0054-04-01
-0054-06-16	-0054-05-01
-0054-07-16	-0054-06-01
-0054-08-14	-0054-07-01
-0054-09-13	-0054-08-01
-0054-10-13	-0054-09-01
-0054-11-11	-0054-10-01
-0054-12-11	-0054-11-01
-0055-01-01	-0056-12-01
-0055-01-30	-0055-01-01
-0055-03-01	-0055-02-01
-0055-03-30	-0055-03-01
-0055-04-29	-0055-04-01
-0055-05-28	-0055-05-01
-0055-06-27	-0055-06-01
-0055-07-27	-0055-07-01
-0055-08-25	-0055-08-01
-0055-09-24	-0055-08'-01
-0055-10-23	-0055-09-01
-0055-11-22	-0055-10-01
-0055-12-21	-0055-11-01
-0056-01-12	-0057-12-01
-0056-02-11	-0056-01-01
-0056-03-12	-0056-02-01
-0056-04-10	-0056-03-01
-0056-05-10	-0056-04-01
-0056-06-08	-0056-05-01
-0056-07-08	-0056-06-01
-0056-08-06	-0056-07-01
-0056-09-05	-0056-08-01
-0056-10-04	-0056-09-01
-0056-11-03	-0056-10-01
-0056-12-02	-0056-11-01
-0057-01-23	-0058-12'-01
-0057-02-22	-0057-01-01
-0057-03-23	-0057-02-01
-0057-04-22	-0057-03-01
-0057-05-21	-0057-04-01
-0057-06-20	-0057-05-01
-0057-07-19	-0057-06-01
-0057-08-18	-0057-07-01
-0057-09-16	-0057-08-01
-0057-10-16	-0057-09-01
-0057-11-14	-0057-10-01
-0057-12-14	-0057-11-01
-0058-01-04	-0059-12-01
-0058-02-03	-0058-01-01
-0058-03-04	-0058-02-01
-0058-04-03	-0058-03-01
-0058-05-02	-0058-04-01
-0058-06-01	-0058-05-01
-0058-06-30	-0058-06-01
-0058-07-30	-0058-07-01
-0058-08-28	-0058-08-01
-0058-09-27	-0058-09-01
-0058-10-27	-0058-10-01
-0058-11-25	-0058-11-01
-0058-12-25	-0058-12-01
-0059-01-15	-0060-12-01
-0059-02-13	-0059-01-01
-0059-03-15	-0059-02-01
-0059-04-13	-0059-03-01
-0059-05-13	-0059-04-01
-0059-06-11	-0059-05-01
-0059-07-11	-0059-06-01
-0059-08-10	-0059-07-01
-0059-09-08	-0059-08-01
-0059-10-08	-0059-09-01
-0059-11-06	-0059-10-01
-0059-12-06	-0059-11-01
-0060-01-26	-0060-01-01
-0060-02-25	-0060-02-01
-0060-03-26	-0060-03-01
-0060-04-24	-0060-04-01
-0060-05-24	-0060-04'-01
-0060-06-22	-0060-05-01
-0060-07-22	-0060-06-01
-0060-08-20	-0060-07-01
-0060-09-19	-0060-08-01
-0060-10-18	-0060-09-01
-0060-11-17	-0060-10-01
-0060-12-16	-0060-11-01
-0061-01-08	-0062-12-01
-0061-02-06	-0061-01-01
-0061-03-08	-0061-02-01
-0061-04-06	-0061-03-01
-0061-05-06	-0061-04-01
-0061-06-04	-0061-05-01
-0061-07-04	-0061-06-01
-0061-08-02	-0061-07-01
-0061-09-01	-0061-08-01
-0061-09-30	-0061-09-01
-0061-10-30	-0061-10-01
-0061-11-28	-0061-11-01
-0061-12-28	-0061-12-01
-0062-01-18	-0063-12-01
-0062-02-17	-0062-01-01
-0062-03-18	-0062-02-01
-0062-04-17	-0062-03-01
-0062-05-16	-0062-04-01
-0062-06-15	-0062-05-01
-0062-07-14	-0062-06-01
-0062-08-13	-0062-07-01
-0062-09-11	-0062-08-01
-0062-10-11	-0062-09-01
-0062-11-09	-0062-10-01
-0062-12-09	-0062-11-01
-0063-01-29	-0063-01-01
-0063-02-27	-0063-02-01
-0063-03-29	-0063-03-01
-0063-04-27	-0063-04-01
-0063-05-27	-0063-05-01
-0063-06-25	-0063-06-01
-0063-07-25	-0063-07-01
-0063-08-24	-0063-07'-01
-0063-09-22	-0063-08-01
-0063-10-22	-0063-09-01
-0063-11-20	-0063-10-01
-0063-12-20	-0063-11-01
-0064-01-11	-0065-12-01
-0064-02-09	-0064-01-01
-0064-03-10	-0064-02-01
-0064-04-09	-0064-03-01
-0064-05-08	-0064-04-01
