# y~1917 神元皇帝
# + tag 2166 #東魏
# - tag 2241 #曹弐竜
# - tag 2303 #中部拓跋部
# <https://data.suikawiki.org/tag/1922/graph?sequence=1917%2B2166-2241-2303>
# y~1365 has multiple nexts: 493,1892
# g:0780-02-15+0 y~322 firstday
mjd:-394007 建中
# g:0784-01-31+0 y~1715 firstday
mjd:-392561 興元
# g:0785-02-18+0 y~1570 firstday
mjd:-392177 貞元(乙丑)
# g:0805-09-05+0 y~476 firstday
mjd:-384673 永貞
# g:0806-01-29+0 y~181 firstday
mjd:-384527 元和(丙戌)
# g:0820-03-26+0 y~1383 firstday
mjd:-379357 永新
# g:0821-02-13+0 y~1118 firstday
mjd:-379033 長慶
# g:0825-02-02+0 y~822 firstday
mjd:-377583 寶曆(乙巳)
# g:0827-03-18+0 y~553 firstday
mjd:-376809 大和
# g:0836-01-26+0 y~94 firstday
mjd:-373573 開成
# g:0841-02-28+0 y~616 firstday
mjd:-371713 會昌
# g:0847-02-04+0 y~1065 firstday
mjd:-369546 大中
# g:0860-11-21+0 y~939 firstday
mjd:-364507 咸通
# g:0874-12-21+0 y~1366 firstday
mjd:-359364 乾符
# g:0880-02-18+0 y~398 firstday
mjd:-357479 廣明
# g:0881-08-13+0 y~421 firstday
mjd:-356937 中和
# g:0885-04-06+0 y~1700 firstday
mjd:-355605 光啟
# g:0888-03-21+0 y~1675 firstday
mjd:-354525 文德(戊申)
# g:0889-02-08+0 y~32 firstday
mjd:-354201 龍紀
# g:0890-01-29+0 y~521 firstday
mjd:-353846 大順
# g:0892-02-06+0 y~39 firstday
mjd:-353108 景福
# g:0894-02-14+0 y~289 firstday
mjd:-352369 乾寧
# g:0898-09-20+0 y~1699 firstday
mjd:-350690 光化
# g:0900-12-29+0 y~1656 firstday
mjd:-349860 天壽(濮王)
# g:0901-02-26+0 y~1699 firstday
mjd:-349801 光化
# g:0901-05-18+0 y~1290 firstday
mjd:-349720 天復
# g:0904-06-02+0 y~203 firstday
mjd:-348609 天祐
